Entity,Code,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data)
South Korea,KOR,1914,66.1,7.96,25.94
South Korea,KOR,1915,61.88,9.68,28.44
South Korea,KOR,1916,63.33,9.41,27.27
South Korea,KOR,1917,65.29,8.95,25.77
South Korea,KOR,1918,66.79,9.15,24.07
South Korea,KOR,1919,62.34,10.07,27.59
South Korea,KOR,1920,64.36,8.76,26.88
South Korea,KOR,1921,57.55,11.26,31.18
South Korea,KOR,1922,59.37,10.7,29.93
South Korea,KOR,1923,58.55,10.99,30.46
South Korea,KOR,1924,59.6,10.63,29.77
South Korea,KOR,1925,60.28,10.46,29.26
South Korea,KOR,1926,58,11.41,30.59
South Korea,KOR,1927,56.93,11.82,31.25
South Korea,KOR,1928,52.88,13.14,33.98
South Korea,KOR,1929,51.4,13.46,35.14
South Korea,KOR,1930,46.6,16.08,37.33
South Korea,KOR,1931,46.9,16.95,36.15
South Korea,KOR,1932,49.2,16.45,34.34
South Korea,KOR,1933,48.49,17.51,34
South Korea,KOR,1934,49.04,17.2,33.76
South Korea,KOR,1935,49.35,18.19,32.46
South Korea,KOR,1936,43.92,22.41,33.67
South Korea,KOR,1937,46.41,22.77,30.82
South Korea,KOR,1938,41.9,26.25,31.86
South Korea,KOR,1939,38.88,28.09,33.03
South Korea,KOR,1940,40.85,27.54,31.61
South Korea,KOR,1953,46.54,12.67,40.8
South Korea,KOR,1954,39.66,15.55,44.79
South Korea,KOR,1955,44.89,16.01,39.09
South Korea,KOR,1956,47.07,15.95,36.98
South Korea,KOR,1957,44.08,16.6,39.31
South Korea,KOR,1958,39.78,17.98,42.24
South Korea,KOR,1959,33.31,19.65,47.04
South Korea,KOR,1960,35.12,19.5,45.38
South Korea,KOR,1961,38.42,19.21,42.37
South Korea,KOR,1962,35.05,20.8,44.15
South Korea,KOR,1963,41.41,18.52,40.07
South Korea,KOR,1964,45.75,19.64,34.61
South Korea,KOR,1965,38.67,22.33,39.01
South Korea,KOR,1966,35.33,22.6,42.07
South Korea,KOR,1967,31.28,23.05,45.68
South Korea,KOR,1968,27.99,24.68,47.33
South Korea,KOR,1969,28.5,25.64,45.85
South Korea,KOR,1970,27.75,26.54,45.72
South Korea,KOR,1971,28.1,25.72,46.18
South Korea,KOR,1972,27.58,26.27,46.15
South Korea,KOR,1973,25.87,29.28,44.85
South Korea,KOR,1974,25.73,30.38,43.9
South Korea,KOR,1975,25.9,30.99,43.11
South Korea,KOR,1976,24.64,32.21,43.15
South Korea,KOR,1977,23.66,33.22,43.12
South Korea,KOR,1978,22.04,35.57,42.39
South Korea,KOR,1979,20.6,37.08,42.32
South Korea,KOR,1980,16.01,37.82,46.17
South Korea,KOR,1981,16.74,37,46.26
South Korea,KOR,1982,15.65,36.94,47.4
South Korea,KOR,1983,14.39,38.31,47.31
South Korea,KOR,1984,13.6,38.71,47.69
South Korea,KOR,1985,13.53,37.87,48.6
South Korea,KOR,1986,12.05,38.81,49.14
South Korea,KOR,1987,10.94,39.79,49.27
South Korea,KOR,1988,10.95,40.62,48.43
South Korea,KOR,1989,10.26,40.26,49.48
South Korea,KOR,1990,9.31,41.4,49.29
South Korea,KOR,1991,8.39,42.84,48.77
South Korea,KOR,1992,8.17,41.86,49.97
South Korea,KOR,1993,7.43,42.25,50.32
South Korea,KOR,1994,7.29,42.11,50.6
South Korea,KOR,1995,6.95,42.64,50.41
South Korea,KOR,1996,6.58,42.09,51.34
South Korea,KOR,1997,6.02,41.81,52.17
South Korea,KOR,1998,5.61,40.98,53.41
South Korea,KOR,1999,5.76,40.66,53.58
South Korea,KOR,2000,5.24,40.6,54.15
South Korea,KOR,2001,4.97,39.09,55.93
South Korea,KOR,2002,4.6,39.31,56.09
South Korea,KOR,2003,4.29,39.76,55.95
South Korea,KOR,2004,4.28,41.42,54.3
South Korea,KOR,2005,3.84,41.21,54.95
South Korea,KOR,2006,3.65,40.68,55.66
South Korea,KOR,2007,3.34,40.87,55.79
South Korea,KOR,2008,3.12,41.28,55.6
South Korea,KOR,2009,3.01,40.79,56.2
South Korea,KOR,2010,2.86,42.85,54.29
South Korea,KOR,2011,2.92,43.35,53.73
Spain,ESP,1850,37.41,17.19,45.4
Spain,ESP,1851,36.96,18.23,44.81
Spain,ESP,1852,35.28,19.53,45.19
Spain,ESP,1853,44.47,15.78,39.76
Spain,ESP,1854,43.41,16.05,40.54
Spain,ESP,1855,48.52,15.12,36.36
Spain,ESP,1856,41.67,18.55,39.78
Spain,ESP,1857,38.85,19.7,41.45
Spain,ESP,1858,38.08,20.86,41.06
Spain,ESP,1859,39.32,20.85,39.83
Spain,ESP,1860,39.46,20.44,40.1
Spain,ESP,1861,39.64,20.65,39.7
Spain,ESP,1862,39.09,21.42,39.48
Spain,ESP,1863,39.17,21.94,38.88
Spain,ESP,1864,37.58,22.16,40.26
Spain,ESP,1865,38.32,21.55,40.14
Spain,ESP,1866,39.64,20.82,39.54
Spain,ESP,1867,42.16,20.02,37.82
Spain,ESP,1868,35.7,21.41,42.89
Spain,ESP,1869,33.64,22.89,43.47
Spain,ESP,1870,38.27,20.9,40.83
Spain,ESP,1871,39.04,21.26,39.71
Spain,ESP,1872,42.26,20.79,36.95
Spain,ESP,1873,40.3,22.47,37.23
Spain,ESP,1874,38.65,20.88,40.47
Spain,ESP,1875,36.82,21.76,41.43
Spain,ESP,1876,40.34,21.09,38.57
Spain,ESP,1877,42.38,21.8,35.82
Spain,ESP,1878,42.44,21.29,36.27
Spain,ESP,1879,40.68,22.65,36.67
Spain,ESP,1880,39.38,24.72,35.89
Spain,ESP,1881,38.53,26.37,35.1
Spain,ESP,1882,38.74,26.59,34.66
Spain,ESP,1883,38.11,26.96,34.92
Spain,ESP,1884,38.59,25.55,35.87
Spain,ESP,1885,38.25,25.89,35.85
Spain,ESP,1886,40.01,24.69,35.3
Spain,ESP,1887,35.84,26.03,38.14
Spain,ESP,1888,37.4,26.69,35.92
Spain,ESP,1889,34.31,26.49,39.2
Spain,ESP,1890,33.61,27.99,38.4
Spain,ESP,1891,33.25,29,37.74
Spain,ESP,1892,33.37,28.08,38.55
Spain,ESP,1893,31.07,29.19,39.74
Spain,ESP,1894,31.59,28.53,39.89
Spain,ESP,1895,32.59,28.33,39.07
Spain,ESP,1896,30.54,28.25,41.21
Spain,ESP,1897,35.3,25.83,38.87
Spain,ESP,1898,32.76,27.47,39.77
Spain,ESP,1899,30.4,29.1,40.5
Spain,ESP,1900,29.89,30.28,39.83
Spain,ESP,1901,33.21,29.03,37.76
Spain,ESP,1902,31.29,28.31,40.4
Spain,ESP,1903,31.95,28.91,39.14
Spain,ESP,1904,31.72,29.53,38.75
Spain,ESP,1905,32.09,28.16,39.75
Spain,ESP,1906,31.64,28.89,39.46
Spain,ESP,1907,33.01,30.18,36.81
Spain,ESP,1908,30.39,30.07,39.54
Spain,ESP,1909,32.67,28.47,38.86
Spain,ESP,1910,27.85,30.73,41.42
Spain,ESP,1911,31.14,29.1,39.76
Spain,ESP,1912,26.91,31.83,41.26
Spain,ESP,1913,29.08,30.51,40.41
Spain,ESP,1914,27.71,30.01,42.27
Spain,ESP,1915,33.02,28.63,38.35
Spain,ESP,1916,31.98,30.7,37.32
Spain,ESP,1917,29.48,30.92,39.6
Spain,ESP,1918,30.31,30.39,39.3
Spain,ESP,1919,32.13,28.48,39.39
Spain,ESP,1920,31.93,30.2,37.87
Spain,ESP,1921,28.87,30.01,41.12
Spain,ESP,1922,29.44,29.44,41.11
Spain,ESP,1923,25.9,31.63,42.47
Spain,ESP,1924,26.48,31.79,41.73
Spain,ESP,1925,27.53,30.78,41.68
Spain,ESP,1926,24.52,32.55,42.93
Spain,ESP,1927,28.59,32.31,39.1
Spain,ESP,1928,23.67,34.17,42.16
Spain,ESP,1929,26.36,32.86,40.78
Spain,ESP,1930,22.78,32.25,44.97
Spain,ESP,1931,24.17,28.99,46.84
Spain,ESP,1932,26.62,28.11,45.27
Spain,ESP,1933,22.34,29.43,48.23
Spain,ESP,1934,24.57,27.27,48.16
Spain,ESP,1935,23.03,27.51,49.47
Spain,ESP,1940,26.8,23.26,49.94
Spain,ESP,1941,25.39,22.93,51.68
Spain,ESP,1942,27.01,24.88,48.11
Spain,ESP,1943,26.94,23.76,49.3
Spain,ESP,1944,31.31,23.63,45.06
Spain,ESP,1945,26.43,24.66,48.91
Spain,ESP,1946,30.22,25.81,43.97
Spain,ESP,1947,27.38,26.97,45.64
Spain,ESP,1948,25,29.49,45.5
Spain,ESP,1949,28.09,25.7,46.22
Spain,ESP,1950,28.71,27.02,44.27
Spain,ESP,1951,28.87,30.05,41.08
Spain,ESP,1952,26.7,31.04,42.26
Spain,ESP,1953,25.05,33.16,41.79
Spain,ESP,1954,23.83,33.52,42.65
Spain,ESP,1955,23.54,34.52,41.94
Spain,ESP,1956,22.55,35.22,42.23
Spain,ESP,1957,22.91,35.55,41.54
Spain,ESP,1958,23.34,35.95,40.71
Spain,ESP,1970,13.13,43.03,43.84
Spain,ESP,1971,13.88,41.98,44.14
Spain,ESP,1972,12.75,43.2,44.06
Spain,ESP,1973,12.27,44.19,43.53
Spain,ESP,1974,11.33,45.45,43.22
Spain,ESP,1975,11.26,43.4,45.34
Spain,ESP,1976,10.88,42.84,46.28
Spain,ESP,1977,10.59,42.3,47.11
Spain,ESP,1978,10.97,41.48,47.55
Spain,ESP,1979,9.69,41.13,49.18
Spain,ESP,1980,8.96,40.81,50.23
Spain,ESP,1981,7.46,39.82,52.72
Spain,ESP,1982,7.64,38.68,53.69
Spain,ESP,1983,7.46,38.27,54.27
Spain,ESP,1984,8.04,37.12,54.84
Spain,ESP,1985,8.06,36.66,55.28
Spain,ESP,1986,8.74,37.49,53.77
Spain,ESP,1987,8.59,37.11,54.3
Spain,ESP,1988,8.82,37.34,53.84
Spain,ESP,1989,8.12,37.85,54.02
Spain,ESP,1990,7.79,36.98,55.23
Spain,ESP,1991,7.09,36.15,56.76
Spain,ESP,1992,6.26,33.59,60.15
Spain,ESP,1993,6.93,31.37,61.71
Spain,ESP,1994,6.9,31.15,61.95
Spain,ESP,1995,6.52,32.43,61.05
Spain,ESP,1996,7.17,31.99,60.84
Spain,ESP,1997,6.74,32.17,61.08
Spain,ESP,1998,6.27,32.22,61.5
Spain,ESP,1999,5.57,32.23,62.2
Spain,ESP,2000,5.23,32.57,62.19
Spain,ESP,2001,5.08,32.63,62.29
Spain,ESP,2002,4.82,32.53,62.64
Spain,ESP,2003,4.78,32.58,62.64
Spain,ESP,2004,4.38,32.99,62.62
Spain,ESP,2005,3.9,33.73,62.37
Spain,ESP,2006,3.42,34.12,62.46
Spain,ESP,2007,3.52,33.16,63.32
Spain,ESP,2008,3.26,32.05,64.68
Spain,ESP,2009,3.21,28.58,68.21
Spain,ESP,2010,3.5,28.88,67.63
Spain,ESP,2011,3.47,28.59,67.95
Sweden,SWE,1800,40.78,14.94,44.44
Sweden,SWE,1801,38.78,17.19,44.02
Sweden,SWE,1802,38.6,15.65,45.75
Sweden,SWE,1803,37.56,15.78,46.67
Sweden,SWE,1804,39.52,12.43,48.05
Sweden,SWE,1805,40.34,13.99,45.68
Sweden,SWE,1806,38,14.5,47.5
Sweden,SWE,1807,39.99,14.03,45.98
Sweden,SWE,1808,38.74,13.07,48.18
Sweden,SWE,1809,44.44,11.28,44.28
Sweden,SWE,1810,44.73,10.75,44.52
Sweden,SWE,1811,40.06,15.4,44.54
Sweden,SWE,1812,39.79,11.79,48.42
Sweden,SWE,1813,37.35,15.94,46.71
Sweden,SWE,1814,40.82,13.18,46.01
Sweden,SWE,1815,41.4,14.18,44.42
Sweden,SWE,1816,38.96,15.41,45.63
Sweden,SWE,1817,40.03,13.63,46.34
Sweden,SWE,1818,35.72,18.7,45.58
Sweden,SWE,1819,36.94,18.47,44.6
Sweden,SWE,1820,40.56,15.96,43.48
Sweden,SWE,1821,39.76,16.01,44.23
Sweden,SWE,1822,39.98,14.54,45.47
Sweden,SWE,1823,40.73,13.23,46.04
Sweden,SWE,1824,40.44,14.8,44.76
Sweden,SWE,1825,38.28,16.84,44.88
Sweden,SWE,1826,37.11,16.6,46.29
Sweden,SWE,1827,39.29,17.33,43.38
Sweden,SWE,1828,40.64,15.98,43.38
Sweden,SWE,1829,38.89,15.69,45.42
Sweden,SWE,1830,40.59,14.43,44.98
Sweden,SWE,1831,38.88,16.13,44.99
Sweden,SWE,1832,41.09,14.83,44.08
Sweden,SWE,1833,40.75,14.78,44.47
Sweden,SWE,1834,40.33,14.71,44.95
Sweden,SWE,1835,40.57,14.96,44.48
Sweden,SWE,1836,39.09,17.39,43.52
Sweden,SWE,1837,38.71,16.67,44.62
Sweden,SWE,1838,38.28,17.55,44.16
Sweden,SWE,1839,40.29,16.86,42.85
Sweden,SWE,1840,40.59,16.43,42.98
Sweden,SWE,1841,40.19,16.44,43.37
Sweden,SWE,1842,41.18,14.97,43.85
Sweden,SWE,1843,41.33,15.6,43.07
Sweden,SWE,1844,40.97,17.03,42
Sweden,SWE,1845,38.83,17.81,43.36
Sweden,SWE,1846,40.04,17.2,42.76
Sweden,SWE,1847,40.13,17.55,42.32
Sweden,SWE,1848,41.21,15.78,43.02
Sweden,SWE,1849,40.34,16.81,42.85
Sweden,SWE,1850,38.52,19.06,42.42
Sweden,SWE,1851,37.71,19.81,42.48
Sweden,SWE,1852,37.79,19.7,42.51
Sweden,SWE,1853,36.44,19.89,43.67
Sweden,SWE,1854,39.05,19.02,41.93
Sweden,SWE,1855,36.03,22,41.98
Sweden,SWE,1856,37.38,20.49,42.12
Sweden,SWE,1857,36.73,21.11,42.15
Sweden,SWE,1858,38.94,19.77,41.29
Sweden,SWE,1859,37.97,20.54,41.5
Sweden,SWE,1860,36.99,21.05,41.96
Sweden,SWE,1861,38.38,19.25,42.36
Sweden,SWE,1862,37.16,20.68,42.15
Sweden,SWE,1863,38.15,20.72,41.13
Sweden,SWE,1864,36.58,21.72,41.7
Sweden,SWE,1865,35.72,21.4,42.89
Sweden,SWE,1866,35.97,21.46,42.57
Sweden,SWE,1867,38.69,20.37,40.94
Sweden,SWE,1868,37.78,19.99,42.22
Sweden,SWE,1869,39.8,19.74,40.46
Sweden,SWE,1870,40.68,19.61,39.71
Sweden,SWE,1871,40.52,19.44,40.04
Sweden,SWE,1872,39.03,21.33,39.64
Sweden,SWE,1873,36.73,23.26,40.01
Sweden,SWE,1874,36.39,24.56,39.05
Sweden,SWE,1875,36.2,24.04,39.76
Sweden,SWE,1876,36.66,23.48,39.86
Sweden,SWE,1877,35.87,24,40.12
Sweden,SWE,1878,37.2,22.76,40.04
Sweden,SWE,1879,38.13,21.62,40.25
Sweden,SWE,1880,36.49,22.81,40.7
Sweden,SWE,1881,36.28,23.05,40.67
Sweden,SWE,1882,36.84,22.55,40.61
Sweden,SWE,1883,37.22,21.74,41.04
Sweden,SWE,1884,34.85,23.61,41.54
Sweden,SWE,1885,35.03,23.16,41.81
Sweden,SWE,1886,33.02,24.79,42.2
Sweden,SWE,1887,32.75,23.99,43.26
Sweden,SWE,1888,32,24.86,43.15
Sweden,SWE,1889,30.95,26.23,42.82
Sweden,SWE,1890,30.87,25.62,43.51
Sweden,SWE,1891,33.18,24.22,42.6
Sweden,SWE,1892,33.36,24.64,42
Sweden,SWE,1893,32.79,25.27,41.94
Sweden,SWE,1894,31.71,26.9,41.39
Sweden,SWE,1895,29.93,28.89,41.18
Sweden,SWE,1896,29.95,29.06,40.99
Sweden,SWE,1897,28.78,30.72,40.49
Sweden,SWE,1898,28.67,29.67,41.66
Sweden,SWE,1899,28.59,29.89,41.52
Sweden,SWE,1900,27.64,30.94,41.42
Sweden,SWE,1901,28.27,30.25,41.48
Sweden,SWE,1902,26.9,30.69,42.41
Sweden,SWE,1903,25.97,31.77,42.27
Sweden,SWE,1904,25.42,31.96,42.62
Sweden,SWE,1905,23.3,33.4,43.31
Sweden,SWE,1906,23.64,33.79,42.57
Sweden,SWE,1907,24.66,31.89,43.46
Sweden,SWE,1908,25.88,31.12,43.01
Sweden,SWE,1909,26.61,29.43,43.96
Sweden,SWE,1910,25.8,31.68,42.52
Sweden,SWE,1911,24.14,33.41,42.45
Sweden,SWE,1912,24.51,32.68,42.81
Sweden,SWE,1913,25.07,33.33,41.59
Sweden,SWE,1914,23.68,33.74,42.58
Sweden,SWE,1915,24.77,30.44,44.79
Sweden,SWE,1916,25.38,32.05,42.56
Sweden,SWE,1917,25,33.72,41.28
Sweden,SWE,1918,25.38,30.33,44.29
Sweden,SWE,1919,24.75,29.69,45.56
Sweden,SWE,1920,22.09,30.81,47.09
Sweden,SWE,1921,20.14,30.59,49.26
Sweden,SWE,1922,19.07,31.26,49.66
Sweden,SWE,1923,17.04,31.75,51.21
Sweden,SWE,1924,16.64,31.72,51.63
Sweden,SWE,1925,15.97,32.22,51.81
Sweden,SWE,1926,16.17,32.07,51.77
Sweden,SWE,1927,15.21,32.25,52.54
Sweden,SWE,1928,14.95,32.28,52.77
Sweden,SWE,1929,14.56,33.41,52.02
Sweden,SWE,1930,13.02,34.41,52.57
Sweden,SWE,1931,12.79,32.18,55.03
Sweden,SWE,1932,11.58,31.71,56.71
Sweden,SWE,1933,13.24,31.25,55.51
Sweden,SWE,1934,12.36,33.93,53.7
Sweden,SWE,1935,12.72,35.1,52.18
Sweden,SWE,1936,13.17,36.37,50.47
Sweden,SWE,1937,13.18,37.48,49.35
Sweden,SWE,1938,12.1,38.81,49.09
Sweden,SWE,1939,11.46,38.17,50.38
Sweden,SWE,1940,11.51,36.35,52.14
Sweden,SWE,1941,11.84,37.79,50.37
Sweden,SWE,1942,11.63,39.13,49.24
Sweden,SWE,1943,11.97,39.79,48.24
Sweden,SWE,1944,12.36,39.49,48.15
Sweden,SWE,1945,11.91,41.23,46.86
Sweden,SWE,1946,11.68,41.22,47.1
Sweden,SWE,1947,11.03,41.03,47.94
Sweden,SWE,1948,9.65,42.63,47.72
Sweden,SWE,1949,9.92,42.05,48.02
Sweden,SWE,1950,11.26,42.46,46.28
Sweden,SWE,1951,11.43,45.91,42.66
Sweden,SWE,1952,14.14,41.65,44.21
Sweden,SWE,1953,10.9,42.65,46.45
Sweden,SWE,1954,10.84,43,46.16
Sweden,SWE,1955,9.98,42.88,47.15
Sweden,SWE,1956,10.12,42.55,47.33
Sweden,SWE,1957,8.8,42.75,48.46
Sweden,SWE,1958,8.43,42.55,49.02
Sweden,SWE,1959,7.37,43.05,49.58
Sweden,SWE,1960,7.57,43.22,49.21
Sweden,SWE,1961,7.5,42.96,49.54
Sweden,SWE,1962,7.08,43.52,49.4
Sweden,SWE,1963,6.16,43.24,50.59
Sweden,SWE,1964,6.34,43.37,50.28
Sweden,SWE,1965,6.02,43.1,50.88
Sweden,SWE,1966,5.38,41.96,52.66
Sweden,SWE,1967,5.06,40.97,53.97
Sweden,SWE,1968,4.35,40.22,55.44
Sweden,SWE,1969,3.92,40.64,55.44
Sweden,SWE,1970,3.94,40.84,55.22
Sweden,SWE,1971,4.17,39.42,56.41
Sweden,SWE,1972,3.65,38.89,57.45
Sweden,SWE,1973,3.47,39.49,57.04
Sweden,SWE,1974,4.21,40.59,55.2
Sweden,SWE,1975,4.07,40.12,55.81
Sweden,SWE,1976,4.09,38.53,57.38
Sweden,SWE,1977,3.73,36.11,60.16
Sweden,SWE,1978,3.36,34.54,62.1
Sweden,SWE,1979,2.97,34.78,62.25
Sweden,SWE,1980,3.03,34.33,62.63
Sweden,SWE,1981,3.09,32.78,64.14
Sweden,SWE,1982,3.07,32.61,64.32
Sweden,SWE,1983,3.11,32.9,64
Sweden,SWE,1984,3.06,33.87,63.08
Sweden,SWE,1985,2.96,33.91,63.12
Sweden,SWE,1986,2.81,33.69,63.5
Sweden,SWE,1987,2.66,33.51,63.83
Sweden,SWE,1988,2.53,33.28,64.19
Sweden,SWE,1989,2.52,33.44,64.04
Sweden,SWE,1990,2.31,32.28,65.41
Sweden,SWE,1991,1.96,30.77,67.27
Sweden,SWE,1992,1.84,29.8,68.36
Sweden,SWE,1993,1.66,28.71,69.63
Sweden,SWE,1994,1.73,30.06,68.21
Sweden,SWE,1995,1.77,31.55,66.69
Sweden,SWE,1996,1.6,30.84,67.56
Sweden,SWE,1997,1.56,30.95,67.49
Sweden,SWE,1998,1.47,31.31,67.22
Sweden,SWE,1999,1.39,30.99,67.62
Sweden,SWE,2000,1.24,30.62,68.13
Sweden,SWE,2001,1.25,30.04,68.71
Sweden,SWE,2002,1.21,29.87,68.92
Sweden,SWE,2003,1.2,29.54,69.26
Sweden,SWE,2004,1.18,29.96,68.86
Sweden,SWE,2005,0.74,30.04,69.21
Sweden,SWE,2006,0.88,30.11,69.01
Sweden,SWE,2007,1.04,30.13,68.83
Sweden,SWE,2008,1.08,28.64,70.28
Sweden,SWE,2009,0.99,26.39,72.63
Sweden,SWE,2010,1.07,28.9,70.03
United Kingdom,GBR,1801,31.6,32.6,35.8
United Kingdom,GBR,1811,36,21,43
United Kingdom,GBR,1821,26,32,42
United Kingdom,GBR,1831,24,35,41
United Kingdom,GBR,1841,24.3,34.1,41.6
United Kingdom,GBR,1851,19.3,31.9,48.8
United Kingdom,GBR,1920,6.15,42.5,51.35
United Kingdom,GBR,1921,6.31,36.75,56.94
United Kingdom,GBR,1922,5.71,39.83,54.45
United Kingdom,GBR,1923,5.12,41.53,53.35
United Kingdom,GBR,1924,4.86,41.67,53.47
United Kingdom,GBR,1925,4.46,39.2,56.33
United Kingdom,GBR,1926,4.64,38.22,57.14
United Kingdom,GBR,1927,3.91,39.99,56.1
United Kingdom,GBR,1928,4.06,38.88,57.07
United Kingdom,GBR,1929,3.93,38.65,57.42
United Kingdom,GBR,1930,4.08,36.09,59.83
United Kingdom,GBR,1931,4.04,35.92,60.04
United Kingdom,GBR,1932,4.02,35.91,60.06
United Kingdom,GBR,1933,4.5,37.02,58.48
United Kingdom,GBR,1934,4.55,37.66,57.8
United Kingdom,GBR,1935,4.2,38.41,57.39
United Kingdom,GBR,1936,4.29,40.08,55.63
United Kingdom,GBR,1937,3.53,41.24,55.23
United Kingdom,GBR,1938,3.57,39.6,56.83
United Kingdom,GBR,1960,4.24,49.02,46.74
United Kingdom,GBR,1961,4.2,48.4,47.41
United Kingdom,GBR,1962,4.17,47.6,48.24
United Kingdom,GBR,1963,3.91,47.09,49
United Kingdom,GBR,1964,3.73,47.79,48.48
United Kingdom,GBR,1965,3.57,47.42,49
United Kingdom,GBR,1966,3.54,46.74,49.72
United Kingdom,GBR,1967,3.5,45.87,50.62
United Kingdom,GBR,1968,3.31,45.5,51.19
United Kingdom,GBR,1969,3.39,45.65,50.96
United Kingdom,GBR,1970,3.19,45.82,50.99
United Kingdom,GBR,1971,3.29,44.76,51.95
United Kingdom,GBR,1972,3.15,44.22,52.63
United Kingdom,GBR,1973,3.46,44.37,52.16
United Kingdom,GBR,1974,3.17,42.94,53.89
United Kingdom,GBR,1975,3.08,41.63,55.29
United Kingdom,GBR,1976,3.21,41.41,55.38
United Kingdom,GBR,1977,2.96,43.45,53.59
United Kingdom,GBR,1978,2.77,44.01,53.22
United Kingdom,GBR,1979,2.61,44.87,52.52
United Kingdom,GBR,1980,2.44,44.12,53.44
United Kingdom,GBR,1981,2.53,43.28,54.19
United Kingdom,GBR,1982,2.63,43.41,53.96
United Kingdom,GBR,1983,2.3,43.13,54.57
United Kingdom,GBR,1984,2.63,43.05,54.33
United Kingdom,GBR,1985,2.2,43.02,54.78
United Kingdom,GBR,1986,2.3,39.36,58.34
United Kingdom,GBR,1987,2.27,39.98,57.75
United Kingdom,GBR,1988,2.03,38.85,59.13
United Kingdom,GBR,1989,2.16,38.73,59.11
United Kingdom,GBR,1990,2.15,37.26,60.59
United Kingdom,GBR,1991,2.05,34.6,63.35
United Kingdom,GBR,1992,2.08,33.18,64.74
United Kingdom,GBR,1993,2.16,32.51,65.33
United Kingdom,GBR,1994,2.1,33.14,64.76
United Kingdom,GBR,1995,2.19,33.69,64.11
United Kingdom,GBR,1996,2.03,33.61,64.36
United Kingdom,GBR,1997,1.63,32.99,65.37
United Kingdom,GBR,1998,1.43,31.53,67.04
United Kingdom,GBR,1999,1.34,30.64,68.01
United Kingdom,GBR,2000,1.21,30.49,68.3
United Kingdom,GBR,2001,1.13,29.57,69.3
United Kingdom,GBR,2002,1.14,27.62,71.24
United Kingdom,GBR,2003,1.17,26.42,72.4
United Kingdom,GBR,2004,1.14,25.78,73.09
United Kingdom,GBR,2005,1.08,25.24,73.68
United Kingdom,GBR,2006,1.05,25.03,73.91
United Kingdom,GBR,2007,1.11,24.71,74.18
United Kingdom,GBR,2008,1.27,24.09,74.64
United Kingdom,GBR,2009,1.17,22.93,75.9
United Kingdom,GBR,2010,1.17,23.49,75.34
United Kingdom,GBR,2011,1.24,23.99,74.77
United States,USA,1839,42.63,19.37,38
United States,USA,1849,36.03,24.97,39
United States,USA,1859,34.29,24.71,41
United States,USA,1869,33.09,29.91,37
United States,USA,1879,28.42,29.58,42
United States,USA,1889,18.97,35.03,46
United States,USA,1899,17.66,35.34,47
United States,USA,1909,17.9,32.34,49.76
United States,USA,1910,17.64,33.15,49.21
United States,USA,1911,16.08,32.97,50.95
United States,USA,1912,16.54,33.65,49.81
United States,USA,1913,15.27,33.4,51.34
United States,USA,1914,15.23,31.43,53.35
United States,USA,1915,15.75,31.53,52.72
United States,USA,1916,16.18,36.11,47.71
United States,USA,1917,18.84,35.4,45.76
United States,USA,1918,19.55,35.22,45.23
United States,USA,1919,16.48,31.53,51.99
United States,USA,1920,11.88,33.61,54.51
United States,USA,1921,9.18,28,62.82
United States,USA,1922,9.53,28.39,62.08
United States,USA,1923,9.23,31.68,59.09
United States,USA,1924,9.7,29.93,60.37
United States,USA,1925,10.21,30.4,59.39
United States,USA,1926,9.1,30.96,59.94
United States,USA,1927,9.16,29.77,61.06
United States,USA,1928,8.79,29.67,61.54
United States,USA,1929,9.94,33.83,56.23
United States,USA,1930,8.67,32.72,58.61
United States,USA,1931,8.75,28.55,62.71
United States,USA,1932,8.2,24.15,67.65
United States,USA,1933,9.42,25.12,65.46
United States,USA,1934,8.53,29.17,62.3
United States,USA,1935,11.53,29.78,58.69
United States,USA,1936,8.9,32.43,58.67
United States,USA,1937,10.31,33.87,55.82
United States,USA,1938,8.89,29.74,61.37
United States,USA,1939,8.29,32.34,59.38
United States,USA,1940,7.54,35.16,57.3
United States,USA,1941,8.06,39.75,52.18
United States,USA,1942,9.15,40.92,49.93
United States,USA,1943,8.71,39.99,51.31
United States,USA,1944,8.25,37.76,53.99
United States,USA,1945,8.57,33.61,57.83
United States,USA,1946,9.99,33.12,56.89
United States,USA,1947,8,31.3,60.8
United States,USA,1948,8.4,32.7,58.9
United States,USA,1949,6.8,31.8,61.1
United States,USA,1950,6.6,33.7,59.9
United States,USA,1951,6.6,34.4,58.9
United States,USA,1952,6,34,60
United States,USA,1953,5.1,34.7,60
United States,USA,1954,5,33.3,61.8
United States,USA,1955,4.4,34.3,61.4
United States,USA,1956,4.1,34.1,61.8
United States,USA,1957,3.9,33.7,62.4
United States,USA,1958,4.3,31.6,64
United States,USA,1959,3.6,32.3,64.1
United States,USA,1960,3.7,31.6,64.7
United States,USA,1961,3.6,30.7,65.7
United States,USA,1962,3.4,31.2,65.5
United States,USA,1963,3.2,31.2,65.6
United States,USA,1964,2.9,31.3,66
United States,USA,1965,3,31.7,65.3
United States,USA,1966,2.9,32.1,65.2
United States,USA,1967,2.7,31.1,66.2
United States,USA,1968,2.5,31,66.3
United States,USA,1969,2.6,30.3,67
United States,USA,1970,2.5,28.9,68.6
United States,USA,1971,2.5,28.2,69.4
